d,replica,semilla,intentos,tiempo_ms
3,54,20263879,12076,655.5811001453549
3,55,20263880,2208,174.00669981725514
3,56,20263881,4804,343.36669999174774
3,57,20263882,4618,381.00689998827875
3,58,20263883,18,2.1776999346911907
3,59,20263884,2998,231.50869994424284
3,60,20263885,3749,213.1076999939978
3,61,20263886,2154,120.38919981569052
3,62,20263887,3557,203.1258000060916
3,63,20263888,382,19.685399951413274
3,64,20263889,1876,140.56430011987686
3,65,20263890,1757,127.91760009713471
3,66,20263891,691,59.5876001752913
3,67,20263892,941,50.337100168690085
3,68,20263893,2959,260.9276999719441
3,69,20263894,227,13.27110012061894
3,70,20263895,2650,158.613899955526
3,71,20263896,6412,424.8074998613447
3,72,20263897,4714,311.44839990884066
3,73,20263898,2910,149.95079999789596
3,74,20263899,5854,365.94799999147654
3,75,20263900,532,28.13979983329773
3,76,20263901,2393,110.21300009451807
3,77,20263902,2151,116.52919999323785
3,78,20263903,2305,160.69689998403192
3,79,20263904,2804,183.5359998513013
3,80,20263905,1717,76.0074001736939
3,81,20263906,15,1.553199952468276
3,82,20263907,1940,111.01910006254911
3,83,20263908,8224,391.1884999834001
3,84,20263909,973,51.39710009098053
3,85,20263910,1997,140.93280001543462
3,86,20263911,756,44.51739997602999
3,87,20263912,3334,276.64269995875657
3,88,20263913,5300,370.87300000712276
3,89,20263914,1968,108.37719985283911
3,90,20263915,6927,405.1132001914084
3,91,20263916,671,41.04210017248988
3,92,20263917,1201,72.63380009680986
3,93,20263918,546,28.93740008585155
3,94,20263919,12372,702.0845001097769
3,95,20263920,1579,76.61450002342463
3,96,20263921,1648,98.36930013261735
3,97,20263922,697,52.467500092461705
3,98,20263923,441,40.02059996128082
3,99,20263924,2139,126.17740011774004
4,0,20264825,72470,4448.638499947265
4,1,20264826,67693,4002.299000043422
4,2,20264827,4248,221.88520012423396
4,3,20264828,17444,1040.4012000653893
4,4,20264829,33459,2038.7798000592738
4,5,20264830,3147,221.99540003202856
4,6,20264831,55379,3584.3891000840813
4,7,20264832,61083,4377.864599926397
4,8,20264833,17244,1047.8034000843763
4,9,20264834,86724,6222.072900040075
4,10,20264835,72966,5132.149599958211
4,11,20264836,95278,6901.123699964955
4,12,20264837,33658,2212.5729999970645
4,13,20264838,29475,1776.7050999682397
4,14,20264839,42666,2966.3108000531793
4,15,20264840,58717,3627.7164998464286
4,16,20264841,59082,4119.39899995923
4,17,20264842,200437,13804.817500058562
4,18,20264843,316336,22069.641400128603
4,19,20264844,5073,464.95210006833076
4,20,20264845,111726,8163.767999969423
4,21,20264846,73888,4518.957399995998
4,22,20264847,36542,2093.994699884206
4,23,20264848,7470,344.5361000485718
4,24,20264849,5704,336.2280000001192
4,25,20264850,16610,880.6882000062615
4,26,20264851,10046,681.0084001626819
4,27,20264852,14690,951.9285000860691
4,28,20264853,29508,1720.9898000583053
4,29,20264854,243499,14527.623199857771
4,30,20264855,30264,1530.047400156036
4,31,20264856,25676,1451.9492001272738
4,32,20264857,78088,4347.649700008333
4,33,20264858,111099,6313.454800052568
4,34,20264859,14547,910.318800015375
4,35,20264860,117825,6802.690400043502
4,36,20264861,84387,5033.490699948743
4,37,20264862,32680,2128.206199966371
4,38,20264863,24423,1568.011699942872
4,39,20264864,123740,8811.520099872723
4,40,20264865,60428,4084.2208000831306
4,41,20264866,9088,628.1932001002133
